[Cidade: Rio de Janeiro]
[Mês]	[Dia]	[Hora]	[Temp]	[Umi]	[Rad.Dir.]	[Rad.Dif.]	[Dir.Vento]	[Vel.Vento]
1	6	9	 27.000	 0.890	 527.000	 261.000	 0.000	 0.000
1	6	10	 29.000	 0.740	 707.000	 179.000	 0.000	 0.000
1	6	11	 28.000	 0.740	 824.000	 185.000	 160.000	 5.100
1	6	12	 28.000	 0.740	 823.000	 207.000	 160.000	 4.100
1	6	13	 29.000	 0.700	 827.000	 195.000	 180.000	 4.100
1	6	14	 28.000	 0.740	 589.000	 231.000	 210.000	 3.600
1	6	15	 28.000	 0.740	 747.000	 188.000	 210.000	 4.100
1	6	16	 28.000	 0.740	 688.000	 164.000	 210.000	 6.200
1	6	17	 27.000	 0.790	 479.000	 132.000	 220.000	 5.100
1	6	18	 26.000	 0.840	 197.000	 84.000	 220.000	 7.200
1	6	19	 26.000	 0.840	 9.000	 17.000	 210.000	 6.200
1	6	20	 25.700	 0.850	 0.000	 0.000	 210.000	 4.800
1	6	21	 25.300	 0.870	 0.000	 0.000	 210.000	 3.500
1	6	22	 25.000	 0.890	 0.000	 0.000	 180.000	 2.100
1	6	23	 24.000	 0.940	 0.000	 0.000	 210.000	 1.000
1	7	0	 26.000	 0.840	 0.000	 0.000	 0.000	 0.000
1	7	1	 26.000	 0.840	 0.000	 0.000	 0.000	 0.000
1	7	2	 26.000	 0.840	 0.000	 0.000	 0.000	 0.000
1	7	3	 25.000	 0.890	 0.000	 0.000	 0.000	 0.000
1	7	4	 25.000	 0.890	 0.000	 0.000	 40.000	 2.600
1	7	5	 25.000	 0.890	 0.000	 0.000	 30.000	 2.600
1	7	6	 25.000	 0.940	 1.000	 19.000	 0.000	 0.000
1	7	7	 26.000	 0.840	 173.000	 98.000	 40.000	 2.600
1	7	8	 27.000	 0.840	 470.000	 159.000	 30.000	 2.600
1	7	9	 27.000	 0.840	 638.000	 209.000	 40.000	 2.600
1	7	10	 29.000	 0.700	 663.000	 261.000	 30.000	 1.500
1	7	11	 29.000	 0.700	 756.000	 261.000	 160.000	 4.100
1	7	12	 28.000	 0.700	 787.000	 272.000	 160.000	 3.100
1	7	13	 28.700	 0.670	 674.000	 265.000	 160.000	 3.800
1	7	14	 29.300	 0.650	 557.000	 268.000	 160.000	 4.400
1	7	15	 30.000	 0.620	 590.000	 239.000	 180.000	 5.100
1	7	16	 30.000	 0.620	 574.000	 231.000	 170.000	 5.100
1	7	17	 29.000	 0.660	 471.000	 161.000	 210.000	 5.100
1	7	18	 31.000	 0.550	 41.000	 110.000	 330.000	 5.100
1	7	19	 31.000	 0.550	 6.000	 17.000	 0.000	 0.000
1	7	20	 27.000	 0.740	 0.000	 0.000	 30.000	 4.100
1	7	21	 27.000	 0.740	 0.000	 0.000	 30.000	 2.800
1	7	22	 27.000	 0.740	 0.000	 0.000	 10.000	 1.500
1	7	23	 26.000	 0.740	 0.000	 0.000	 360.000	 4.100
1	8	0	 26.000	 0.740	 0.000	 0.000	 360.000	 1.500
1	8	1	 26.000	 0.740	 0.000	 0.000	 40.000	 4.100
1	8	2	 26.000	 0.740	 0.000	 0.000	 0.000	 0.000
1	8	3	 26.000	 0.790	 0.000	 0.000	 0.000	 0.000
1	8	4	 25.000	 0.830	 0.000	 0.000	 0.000	 0.000
1	8	5	 25.000	 0.830	 0.000	 0.000	 0.000	 0.000
1	8	6	 25.000	 0.830	 3.000	 18.000	 0.000	 0.000
1	8	7	 27.000	 0.740	 206.000	 96.000	 0.000	 0.000
1	8	8	 29.000	 0.740	 474.000	 154.000	 40.000	 3.100
1	8	9	 30.000	 0.700	 562.000	 206.000	 40.000	 5.100
1	8	10	 31.000	 0.660	 666.000	 249.000	 60.000	 3.100
1	8	11	 29.000	 0.740	 671.000	 314.000	 170.000	 5.100
1	8	12	 28.000	 0.790	 647.000	 339.000	 180.000	 3.600
1	8	13	 22.000	 1.000	 2.000	 358.000	 340.000	 7.700
1	8	14	 29.000	 0.700	 408.000	 377.000	 170.000	 5.100
1	8	15	 29.000	 0.700	 218.000	 316.000	 180.000	 7.200
1	8	16	 28.000	 0.740	 406.000	 220.000	 180.000	 5.100
1	8	17	 28.000	 0.740	 113.000	 140.000	 180.000	 7.200
1	8	18	 27.000	 0.840	 125.000	 103.000	 190.000	 6.200
1	8	19	 25.000	 0.940	 1.000	 13.000	 90.000	 3.100
1	8	20	 24.000	 0.940	 0.000	 0.000	 360.000	 2.600
1	8	21	 25.000	 0.890	 0.000	 0.000	 360.000	 2.800
1	8	22	 26.000	 0.840	 0.000	 0.000	 50.000	 3.100
1	8	23	 26.000	 0.840	 0.000	 0.000	 0.000	 0.000
1	9	0	 26.000	 0.840	 0.000	 0.000	 0.000	 0.000
1	9	1	 25.000	 0.890	 0.000	 0.000	 0.000	 0.000
1	9	2	 25.000	 0.890	 0.000	 0.000	 0.000	 0.000
1	9	3	 25.000	 0.890	 0.000	 0.000	 0.000	 0.000
1	9	4	 25.000	 0.890	 0.000	 0.000	 30.000	 2.100
1	9	5	 25.000	 0.890	 0.000	 0.000	 30.000	 2.100
1	9	6	 25.000	 0.890	 11.000	 17.000	 30.000	 2.100
1	9	7	 26.000	 0.840	 40.000	 130.000	 0.000	 0.000
1	9	8	 26.000	 0.840	 114.000	 244.000	 30.000	 2.600
1	9	9	 26.500	 0.860	 260.000	 286.000	 30.000	 2.600
1	9	10	 27.000	 0.890	 520.000	 283.000	 40.000	 2.600
1	9	11	 30.000	 0.660	 811.000	 211.000	 60.000	 2.600
1	9	12	 32.000	 0.560	 773.000	 236.000	 0.000	 0.000
1	9	13	 33.000	 0.530	 797.000	 230.000	 160.000	 4.100
1	9	14	 31.000	 0.630	 748.000	 237.000	 190.000	 4.100
1	9	15	 30.300	 0.650	 727.000	 231.000	 190.000	 3.900
1	9	16	 29.700	 0.670	 515.000	 243.000	 190.000	 3.800
1	9	17	 29.000	 0.700	 414.000	 190.000	 220.000	 3.600
1	9	18	 29.000	 0.700	 234.000	 71.000	 210.000	 5.100
1	9	19	 28.000	 0.700	 3.000	 21.000	 120.000	 2.600
1	9	20	 27.000	 0.790	 0.000	 0.000	 30.000	 2.600
1	9	21	 27.000	 0.790	 0.000	 0.000	 30.000	 2.600
1	9	22	 27.000	 0.790	 0.000	 0.000	 20.000	 2.600
1	9	23	 26.000	 0.840	 0.000	 0.000	 30.000	 2.100
1	10	0	 26.000	 0.790	 0.000	 0.000	 40.000	 2.100
1	10	1	 26.000	 0.790	 0.000	 0.000	 40.000	 2.100
1	10	2	 26.000	 0.840	 0.000	 0.000	 60.000	 1.500
1	10	3	 25.000	 0.890	 0.000	 0.000	 40.000	 1.500
1	10	4	 25.000	 0.890	 0.000	 0.000	 20.000	 2.100
1	10	5	 25.000	 0.890	 0.000	 0.000	 40.000	 2.100
1	10	6	 26.000	 0.890	 25.000	 18.000	 10.000	 3.100
1	10	7	 27.000	 0.840	 64.000	 128.000	 30.000	 2.600
1	10	8	 27.000	 0.840	 559.000	 88.000	 30.000	 1.500
1	10	9	 28.000	 0.740	 477.000	 224.000	 30.000	 2.600
1	10	10	 29.000	 0.700	 707.000	 209.000	 30.000	 2.600
1	10	11	 30.000	 0.660	 964.000	 106.000	 30.000	 2.600
1	10	12	 33.000	 0.490	 947.000	 116.000	 50.000	 2.600
1	10	13	 35.000	 0.470	 883.000	 135.000	 30.000	 1.500
1	10	14	 37.000	 0.570	 816.000	 214.000	 150.000	 2.600
1	10	15	 33.000	 0.750	 766.000	 153.000	 210.000	 3.100
1	10	16	 31.000	 0.750	 687.000	 190.000	 30.000	 2.600
1	10	17	 31.000	 0.660	 507.000	 161.000	 60.000	 5.100
1	10	18	 31.000	 0.630	 413.000	 101.000	 30.000	 3.600
1	10	19	 29.500	 0.660	 92.000	 18.000	 30.000	 1.800
1	10	20	 28.000	 0.700	 0.000	 0.000	 0.000	 0.000
1	10	21	 28.000	 0.700	 0.000	 0.000	 0.000	 1.000
1	10	22	 28.000	 0.700	 0.000	 0.000	 320.000	 2.100
1	10	23	 29.000	 0.620	 0.000	 0.000	 300.000	 4.100
1	11	0	 29.000	 0.620	 0.000	 0.000	 300.000	 3.100
1	11	1	 29.000	 0.620	 0.000	 0.000	 0.000	 0.000
1	11	2	 28.000	 0.700	 0.000	 0.000	 0.000	 0.000
1	11	3	 28.000	 0.700	 0.000	 0.000	 0.000	 0.000
1	11	4	 28.000	 0.700	 0.000	 0.000	 0.000	 0.000
1	11	5	 28.000	 0.620	 0.000	 0.000	 340.000	 1.500
1	11	6	 29.000	 0.580	 80.000	 16.000	 300.000	 2.100
1	11	7	 23.000	 0.890	 296.000	 75.000	 300.000	 2.100
1	11	8	 28.000	 0.740	 509.000	 146.000	 50.000	 2.600
1	11	9	 29.000	 0.700	 712.000	 168.000	 40.000	 2.600
1	11	10	 30.000	 0.660	 740.000	 189.000	 40.000	 1.300
1	11	11	 31.000	 0.630	 651.000	 267.000	 0.000	 0.000
1	11	12	 32.000	 0.560	 837.000	 179.000	 180.000	 4.100
1	11	13	 32.000	 0.560	 519.000	 469.000	 190.000	 6.200
1	11	14	 31.000	 0.550	 335.000	 297.000	 180.000	 3.600
1	11	15	 29.500	 0.620	 173.000	 570.000	 180.000	 3.100
1	11	16	 28.000	 0.700	 83.000	 285.000	 170.000	 2.600
1	11	17	 29.000	 0.740	 140.000	 220.000	 180.000	 2.600
1	11	18	 27.000	 0.790	 72.000	 70.000	 0.000	 0.000
1	11	19	 26.000	 0.840	 12.000	 25.000	 0.000	 0.000
1	11	20	 26.000	 0.790	 0.000	 0.000	 0.000	 0.000
1	11	21	 26.000	 0.790	 0.000	 0.000	 0.000	 0.700
1	11	22	 26.000	 0.790	 0.000	 0.000	 210.000	 1.500
